place,frequency,lat,lon
プリマス,1,50.3712659,-4.1425658
スコットランド,69,56.7861112,-4.1140518
カンタブリア,3,43.1595664,-4.0878382
スノードン,1,53.0684857,-4.0762324
マドリッド,43,40.47340315,-3.82951049211407
ウェールズ,7,52.2928116,-3.73893
マドリード,1,40.4167047,-3.7035825
グラナダ,4,37.1734995,-3.5995337
ブルノ,1,48.5490279,-3.3992329
ロリアン,2,47.7477336,-3.3660907
イギリス,1348,54.7023545,-3.2765753
いぎりす,1,54.7023545,-3.2765753
エディンバラ,2,55.9533456,-3.1883749
カーディフ,1,51.4816546,-3.1791934
エレア,4,42.9119841,-3.0172375
ブルターニュ,1,48.2640845,-2.9202408
ランカスター,3,54.0484068,-2.7990345
ブリストル,6,51.4538022,-2.5972985
ランカシャー,1,53.8611703,-2.56508879194755
セイヌ,3,10.0671427,-2.5062098
マリ,10,16.3700359,-2.2900239
マンチェスター,8,53.4794892,-2.2451148
チャーチル,2,50.6953364,-2.2420244
アバディーン,2,57.1482429,-2.0928095
Britain,1,54.31536155,-1.91802349480124
バーミンガム,12,52.4796992,-1.9026911
ボーンマス,1,50.7446732,-1.85795773963504
メジナ,1,40.4342709,-1.8431429
ダーラム,4,54.666667,-1.75
ヨークシャ,1,53.7414271,-1.72020037667772
ヨークシャー,1,53.7414271,-1.72020037667772
レナ,1,48.1113387,-1.6800198
バスク,1,43.4396074,-1.59012439318182
ユーゴ,1,42.1894903,-1.5668883
ナント,12,47.2186371,-1.5541362
リーズ,6,53.7974185,-1.5437941
ザレ,3,42.5871778,-1.3983063
バンカ,1,43.1278266,-1.3728388
イングランド,15,52.5310214,-1.2649062
Oxford,2,51.7520131,-1.2578499
オックスフォード,13,51.7520131,-1.2578499
ラ・ロシェル,1,46.1591126,-1.1520434
レスター,1,52.6362,-1.1331969
ポーツマス,1,50.8036831,-1.075614
バークシャー,3,51.4534889,-1.03187295933992
カム,1,43.1162078,-0.9060738
テームズ,1,51.5575525,-0.781404
テムズ,2,51.5575525,-0.781404
アラゴ,1,41.3787291,-0.7639373
アラズ,6,41.6310215,-0.751451
まの,2,44.4165387,-0.6726434
ブライ,1,45.1271231,-0.6635964
オラン,3,35.7032751,-0.6492976
ボルドー,2,44.841225,-0.5800364
きび,2,6.1657279,-0.5502945
ピリピ,1,38.3424623,-0.4941313
うぜん,6,43.3990441,-0.433093
フラム,1,51.4983142,-0.227878183582224
エレン,1,48.9084744,-0.1602503
ブライトン,5,50.8214626,-0.1400561
ソーホー,5,51.5140654,-0.1350494
トラファルガー,2,51.508037,-0.128049410707247
ロンドン,496,51.5073359,-0.12765
セントポール,6,51.51378715,-0.09845055141833
ハロウ,4,51.7676194,0.0974893
チュー,2,52.21370905,0.099991804844719
Cambridge,2,52.2055314,0.1186637
ケンブリッジ,10,52.2055314,0.1186637
ノルマンディ,5,49.0677708,0.3138532
ピレネー,2,42.6982487,0.4969969
タラ,1,47.3900474,0.6889268
ノーフォーク,1,52.67345305,0.947141051697642
ガロンヌ,4,43.3054546,0.971679170190158
ディエップ,1,49.9246182,1.0791444
ルーアン,1,49.4404591,1.0939658
ロア,4,49.4404591,1.0939658
ロアン,1,49.4404591,1.0939658
ドーバー,8,51.1251275,1.3134228
ムレ,1,43.4599858,1.3262332
ちま,63,34.5446115,1.39079080736882
アンドラ,1,42.5407167,1.5732033
フランス,1643,46.603354,1.8883335
ふらんす,11,46.603354,1.8883335
オルレアン,4,47.9027336,1.9086066
ヴェルサイユ,10,48.8035403,2.1266886
バルセローナ,1,41.3828939,2.1774322
エリン,1,50.43876,2.20863
トロカデロ,4,48.863045,2.2871938
アミアン,6,49.8941708,2.2956951
パリ,941,48.8588897,2.32004102172008
パリー,1,48.8588897,2.32004102172008
モンパルナス,4,48.8393,2.3305
モンマルトル,23,34.68980948.8862,2.3431
いで,3,45.3459496,2.436743
シェリ,1,47.0248824,2.57533336066557
アラス,2,50.291048,2.7772211
インカ,1,39.7211448,2.9111493
アルジェ,1,36.7753606,3.0601882
セテ,4,43.4014434,3.6959771
モンペリエ,4,43.6112422,3.8767337
ランス,13,49.2577886,4.031926
たご,1,12.7543008,4.2347535
マオ,28,39.8894819,4.2661641
シェバ,1,11.717339,4.307034
ハーグ,2,52.0799838,4.3113461
マルヌ,3,48.961264,4.31224359285714
ブリュッセル,7,50.8465573,4.351697
デルフト,1,52.0114017,4.35839
アントワープ,2,51.2211097,4.3997081
ブラッセル,5,50.81595045,4.40977110402827
ハレ,2,50.8909441,4.4157553
ライデン,1,52.1594747,4.4908843
アルル,1,43.6776223,4.6309653
アルプ,21,45.2968119,4.6604809
ベルギー,23,50.6402809,4.6667145
サゼ,1,43.9412882,4.6818544
リヨン,10,45.7578137,4.8320114
タイン,5,45.0712839,4.8370726
ヴァランス,1,44.9332277,4.8920811
アムステルダム,14,52.3730796,4.8924534
アラビヤ,62,52.3930662,4.9542949
ディジョン,1,47.3215806,5.0414701
マルセイユ,18,43.2961743,5.3699525
エクス,2,43.5298424,5.4474738
レマン,11,49.9761389,5.4938631
オランダ,97,52.2434979,5.6343227
ヤシ,3,12.17247005,5.65175571508919
カンネ,2,50.8141622,5.6692203
ユラ,8,46.7833625,5.7832857263549
レイデン,1,49.778049,5.89105088856061
えど,137,6.6076575,5.9722713
アーヘン,1,50.776351,6.083862
ジュネーヴ,3,46.2017559,6.1466014
イキリ,1,5.2937824,6.7038051
モントルー,7,43.617944,6.765164
