作品ID,作品名,first_published,main_published,main_based_on,文字遣い種別,図書カードURL,人物ID,姓,名,姓読み,名読み,姓ローマ字,名ローマ字,役割フラグ,生年月日,没年月日,テキストファイルURL,XHTML/HTMLファイルURL,Filename
53672,探検実記　地中の秘密,,1902,,旧字旧仮名,https://www.aozora.gr.jp/cards/000448/card53672.html,448,江見,水蔭,えみ,すいいん,Emi,Suiin,著者,1869-09-17,1934-11-03,https://www.aozora.gr.jp/cards/000448/files/53672_ruby_68706.zip,https://www.aozora.gr.jp/cards/000448/files/53672_68755.html,01ban'yuno_chikara
56565,忘春詩集,1922,1995,1922,新字旧仮名,https://www.aozora.gr.jp/cards/001763/card56565.html,1763,佐藤,春夫,さとう,はるお,Sato,Haruo,著者,1892-04-09,1964-05-06,https://www.aozora.gr.jp/cards/001763/files/56565_ruby_58084.zip,https://www.aozora.gr.jp/cards/001763/files/56565_58085.html,01boshun_shishuni
46596,茶話,1915,1983,1915,新字旧仮名,https://www.aozora.gr.jp/cards/000150/card46596.html,150,薄田,泣菫,すすきだ,きゅうきん,Susukida,Kyukin,著者,1877-05-19,1945-10-09,https://www.aozora.gr.jp/cards/000150/files/46596_ruby_50369.zip,https://www.aozora.gr.jp/cards/000150/files/46596_50729.html,01chabanashi1915
48282,南洲手抄言志録,1888,1888,,旧字旧仮名,https://www.aozora.gr.jp/cards/000354/card48282.html,354,勝,海舟,かつ,かいしゅう,Katsu,Kaishu,著者,1823-03-12,1899-01-19,https://www.aozora.gr.jp/cards/000354/files/48282_txt_37264.zip,https://www.aozora.gr.jp/cards/000354/files/48282_38046.html,01eishi
1206,泡鳴五部作,"1911, 1912",1955,,旧字旧仮名,https://www.aozora.gr.jp/cards/000137/card1206.html,137,岩野,泡鳴,いわの,ほうめい,Iwano,Homei,著者,1873-01-20,1920-05-09,https://www.aozora.gr.jp/cards/000137/files/1206_ruby_58778.zip,https://www.aozora.gr.jp/cards/000137/files/1206_58821.html,01homei_gobusaku_hatten
1206,泡鳴五部作,"1911, 1912",1955,,旧字旧仮名,https://www.aozora.gr.jp/cards/000137/card1206.html,137,岩野,泡鳴,いわの,ほうめい,Iwano,Homei,著者,1873-01-20,1920-05-09,https://www.aozora.gr.jp/cards/000137/files/1206_ruby_58778.zip,https://www.aozora.gr.jp/cards/000137/files/1206_58821.html,01homei_gobusaku_hatten
52315,大植物図鑑,,1925,,旧字旧仮名,https://www.aozora.gr.jp/cards/001556/card52315.html,1556,松村,任三,まつむら,じんぞう,Matsumura,Jinzo,著者,1856-02-14,1928-05-04,https://www.aozora.gr.jp/cards/001556/files/52315_txt_63486.zip,https://www.aozora.gr.jp/cards/001556/files/52315_63530.html,01jo_dai_shokubutsu_zukan
59473,月に吠える,1917,1975,,新字旧仮名,https://www.aozora.gr.jp/cards/000106/card59473.html,106,北原,白秋,きたはら,はくしゅう,Kitahara,Hakushu,著者,1885-01-25,1942-11-02,https://www.aozora.gr.jp/cards/000106/files/59473_ruby_67970.zip,https://www.aozora.gr.jp/cards/000106/files/59473_68013.html,01jo_tsukini_hoeru
56025,うもれ木,1892,1892,,旧字旧仮名,https://www.aozora.gr.jp/cards/001765/card56025.html,1765,田辺,竜子,たなべ,たつこ,Tanabe,Tatsuko,著者,1869-02-04,1943-07-18,https://www.aozora.gr.jp/cards/001765/files/56025_ruby_68445.zip,https://www.aozora.gr.jp/cards/001765/files/56025_68494.html,01jo_umoregi
56886,我が一九二二年,1923,1969,,新字旧仮名,https://www.aozora.gr.jp/cards/000393/card56886.html,393,生田,長江,いくた,ちょうこう,Ikuta,Choko,著者,1882-04-21,1936-01-11,https://www.aozora.gr.jp/cards/000393/files/56886_ruby_58716.zip,https://www.aozora.gr.jp/cards/000393/files/56886_58754.html,01jo_waga_1922nen
45521,瘠我慢の説,1901,1985,1901,新字新仮名,https://www.aozora.gr.jp/cards/001206/card45521.html,1206,石河,幹明,いしかわ,みきあき,Ishikawa,Mikiaki,著者,1859-11-11,1943-07-25,https://www.aozora.gr.jp/cards/001206/files/45521_ruby_24538.zip,https://www.aozora.gr.jp/cards/001206/files/45521_24769.html,01jyo
56575,愛の詩集,,1995,1918,新字旧仮名,https://www.aozora.gr.jp/cards/000067/card56575.html,67,萩原,朔太郎,はぎわら,さくたろう,Hagiwara,Sakutaro,著者,1886-11-01,1942-05-11,https://www.aozora.gr.jp/cards/000067/files/56575_txt_53478.zip,https://www.aozora.gr.jp/cards/000067/files/56575_53481.html,01koshijitsuden
1726,大菩薩峠,1913,1994,1976,新字新仮名,https://www.aozora.gr.jp/cards/000283/card1726.html,283,中里,介山,なかざと,かいざん,Nakazato,Kaizan,著者,1885-04-04,1944-04-28,https://www.aozora.gr.jp/cards/000283/files/1726_ruby_5424.zip,https://www.aozora.gr.jp/cards/000283/files/1726_14905.html,01kougenittoryu
58141,福翁自伝,1899,2003,1899,新字新仮名,https://www.aozora.gr.jp/cards/001206/card58141.html,1206,石河,幹明,いしかわ,みきあき,Ishikawa,Mikiaki,著者,1859-11-11,1943-07-25,https://www.aozora.gr.jp/cards/001206/files/58141_ruby_61550.zip,https://www.aozora.gr.jp/cards/001206/files/58141_61589.html,01maegaki_fukuo_jiden
47988,釘抜藤吉捕物覚書,1925,1970,,新字新仮名,https://www.aozora.gr.jp/cards/000290/card47988.html,290,林,不忘,はやし,ふぼう,Hayashi,Fubo,著者,1900-01-17,1935-06-29,https://www.aozora.gr.jp/cards/000290/files/47988_ruby_31587.zip,https://www.aozora.gr.jp/cards/000290/files/47988_31607.html,01nono_jino_ato
50125,妖怪学講義,1896,1999,1897,新字新仮名,https://www.aozora.gr.jp/cards/001021/card50125.html,1021,井上,円了,いのうえ,えんりょう,Inoue,Enryo,著者,1858-03-18,1919-06-06,https://www.aozora.gr.jp/cards/001021/files/50125_ruby_73414.zip,https://www.aozora.gr.jp/cards/001021/files/50125_73453.html,01saihanni_tsukite_ichigono_daisu
49691,将来の日本,1887,1971,1887,新字新仮名,https://www.aozora.gr.jp/cards/001388/card49691.html,1388,新島,襄,にいじま,じょう,Niijima,Jo,著者,1843-02-12,1890-01-23,https://www.aozora.gr.jp/cards/001388/files/49691_ruby_34382.zip,https://www.aozora.gr.jp/cards/001388/files/49691_34819.html,01sanpanjo
56560,聖三稜玻璃,,1915,,旧字旧仮名,https://www.aozora.gr.jp/cards/001579/card56560.html,1579,室生,犀星,むろう,さいせい,Murou,Saisei,著者,1889-08-01,1962-03-26,https://www.aozora.gr.jp/cards/001579/files/56560_txt_66676.zip,https://www.aozora.gr.jp/cards/001579/files/56560_66727.html,01seipurizumisutoni_atau
1789,定本青猫,"1917, 1922, 1922, 1922, 1921, 1918, 1923, 1917, 1917, 1917, 1917, 1918, 1917, 1917, 1917, 1922, 1921, 1922, 1921, 1921, 1922, 1921, 1921, 1922, 1922, 1921, 1922, 1923, 1923, 1923, 1923, 1923, 1923, 1923, 1923, 1923, 1917, 1918, 1918, 1918, 1918, 1922, 1922, 1922, 1922, 1922, 1922, 1922, 1922, 1922, 1922, 1922, 1923, 1922, 1921, 1922, 1923, 1923, 1925, 1924, 1925, 1924, 1924, 1925, 1927, 1927, 1926, 1928",1976,1936,旧字旧仮名,https://www.aozora.gr.jp/cards/000067/card1789.html,67,萩原,朔太郎,はぎわら,さくたろう,Hagiwara,Sakutaro,著者,1886-11-01,1942-05-11,https://www.aozora.gr.jp/cards/000067/files/1789_ruby_20545.zip,https://www.aozora.gr.jp/cards/000067/files/1789_20546.html,01teihon_aoneko
526,十二支考,"1914, 1930",1994,1951,新字新仮名,https://www.aozora.gr.jp/cards/000093/card526.html,93,南方,熊楠,みなかた,くまぐす,Minakata,Kumagusu,著者,1867-05-18,1941-12-29,https://www.aozora.gr.jp/cards/000093/files/526_ruby_5504.zip,https://www.aozora.gr.jp/cards/000093/files/526_28258.html,01tora
48215,海島冒険奇譚　海底軍艦,1900,1975,1900,旧字旧仮名,https://www.aozora.gr.jp/cards/001326/card48215.html,1326,小笠原,長生,おがさわら,ながなり,Ogasawara,Nganari,著者,1867-12-15,1958-09-20,https://www.aozora.gr.jp/cards/001326/files/48215_txt_33961.zip,https://www.aozora.gr.jp/cards/001326/files/48215_33989.html,02_jo_kaiteigunkan
56576,愛の詩集,,1995,1918,新字旧仮名,https://www.aozora.gr.jp/cards/000106/card56576.html,106,北原,白秋,きたはら,はくしゅう,Kitahara,Hakushu,著者,1885-01-25,1942-11-02,https://www.aozora.gr.jp/cards/000106/files/56576_ruby_53325.zip,https://www.aozora.gr.jp/cards/000106/files/56576_53369.html,02aino_shishuno_hajimeni
202,或る女,1919,"1950, 1968",,新字新仮名,https://www.aozora.gr.jp/cards/000025/card202.html,25,有島,武郎,ありしま,たけお,Arishima,Takeo,著者,1878-03-04,1923-06-09,https://www.aozora.gr.jp/cards/000025/files/202_ruby_20065.zip,https://www.aozora.gr.jp/cards/000025/files/202_20066.html,02aru_onna_kohen
55508,忘春詩集,,1995,1922,新字旧仮名,https://www.aozora.gr.jp/cards/001579/card55508.html,1579,室生,犀星,むろう,さいせい,Murou,Saisei,著者,1889-08-01,1962-03-26,https://www.aozora.gr.jp/cards/001579/files/55508_ruby_53320.zip,https://www.aozora.gr.jp/cards/001579/files/55508_53364.html,02boshun_shishu
46615,茶話,1916,1983,1916,新字旧仮名,https://www.aozora.gr.jp/cards/000150/card46615.html,150,薄田,泣菫,すすきだ,きゅうきん,Susukida,Kyukin,著者,1877-05-19,1945-10-09,https://www.aozora.gr.jp/cards/000150/files/46615_ruby_50368.zip,https://www.aozora.gr.jp/cards/000150/files/46615_50730.html,02chabanashi1916
1864,福翁自伝,"1898, 1899",2003,1899,新字新仮名,https://www.aozora.gr.jp/cards/000296/card1864.html,296,福沢,諭吉,ふくざわ,ゆきち,Fukuzawa,Yukichi,著者,1835-01-10,1901-02-03,https://www.aozora.gr.jp/cards/000296/files/1864_ruby_61551.zip,https://www.aozora.gr.jp/cards/000296/files/1864_61590.html,02fukuo_jiden
53673,探検実記　地中の秘密,,1909,,旧字旧仮名,https://www.aozora.gr.jp/cards/000448/card53673.html,448,江見,水蔭,えみ,すいいん,Emi,Suiin,著者,1869-09-17,1934-11-03,https://www.aozora.gr.jp/cards/000448/files/53673_ruby_69500.zip,https://www.aozora.gr.jp/cards/000448/files/53673_69551.html,02gongendaino_kaiko
51870,泡鳴五部作,1914,1955,,旧字旧仮名,https://www.aozora.gr.jp/cards/000137/card51870.html,137,岩野,泡鳴,いわの,ほうめい,Iwano,Homei,著者,1873-01-20,1920-05-09,https://www.aozora.gr.jp/cards/000137/files/51870_ruby_59992.zip,https://www.aozora.gr.jp/cards/000137/files/51870_60037.html,02homei_gobusaku_dokuyakuo_nomu_onna
1872,法窓夜話,,1980,1926,新字新仮名,https://www.aozora.gr.jp/cards/000301/card1872.html,301,穂積,陳重,ほづみ,のぶしげ,Hozumi,Nobushige,著者,1855-08-23,1926-04-07,https://www.aozora.gr.jp/cards/000301/files/1872_ruby_3491.zip,https://www.aozora.gr.jp/cards/000301/files/1872_53638.html,02hoso_yawa
